[2026-07-30T09:31:18.241+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-30T09:31:19.012+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,012 | INFO | Replacing null values
[2026-07-30T09:31:19.013+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,012 | INFO | Processing 1000 records
[2026-07-30T09:31:19.078+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,077 | INFO | customers.csv loaded successfully!
[2026-07-30T09:31:19.078+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,078 | INFO | ============================================================
[2026-07-30T09:31:19.078+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,078 | INFO | ============================================================
[2026-07-30T09:31:19.078+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,078 | INFO | Starting ETL Pipeline for products.csv
[2026-07-30T09:31:19.079+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,078 | INFO | ============================================================
[2026-07-30T09:31:19.080+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,080 | INFO | Validating dataset
[2026-07-30T09:31:19.081+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,081 | INFO | Removing duplicates
[2026-07-30T09:31:19.082+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,082 | INFO | Replacing null values
[2026-07-30T09:31:19.082+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,082 | INFO | Processing 40 records
[2026-07-30T09:31:19.090+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,090 | INFO | products.csv loaded successfully!
[2026-07-30T09:31:19.090+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,090 | INFO | ============================================================
[2026-07-30T09:31:19.090+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,090 | INFO | ============================================================
[2026-07-30T09:31:19.090+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,090 | INFO | Starting ETL Pipeline for inventory.csv
[2026-07-30T09:31:19.090+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,090 | INFO | ============================================================
[2026-07-30T09:31:19.091+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,091 | INFO | Validating dataset
[2026-07-30T09:31:19.091+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,091 | INFO | Removing duplicates
[2026-07-30T09:31:19.091+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,091 | INFO | Replacing null values
[2026-07-30T09:31:19.092+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,091 | INFO | Processing 400 records
[2026-07-30T09:31:19.108+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,108 | INFO | inventory.csv loaded successfully!
[2026-07-30T09:31:19.108+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,108 | INFO | ============================================================
[2026-07-30T09:31:19.109+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,109 | INFO | ============================================================
[2026-07-30T09:31:19.109+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,109 | INFO | Starting ETL Pipeline for orders.csv
[2026-07-30T09:31:19.109+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,109 | INFO | ============================================================
[2026-07-30T09:31:19.112+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,112 | INFO | Validating dataset
[2026-07-30T09:31:19.113+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,113 | INFO | Removing duplicates
[2026-07-30T09:31:19.114+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,114 | INFO | Replacing null values
[2026-07-30T09:31:19.114+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,114 | INFO | Processing 5000 records
[2026-07-30T09:31:19.389+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,389 | INFO | orders.csv loaded successfully!
[2026-07-30T09:31:19.390+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,389 | INFO | ============================================================
[2026-07-30T09:31:19.392+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,391 | INFO | ============================================================
[2026-07-30T09:31:19.392+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,391 | INFO | Starting ETL Pipeline for order_items.csv
[2026-07-30T09:31:19.392+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,392 | INFO | ============================================================
[2026-07-30T09:31:19.395+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,395 | INFO | Validating dataset
[2026-07-30T09:31:19.397+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,396 | INFO | Removing duplicates
[2026-07-30T09:31:19.397+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,397 | INFO | Replacing null values
[2026-07-30T09:31:19.398+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,398 | INFO | Processing 15099 records
[2026-07-30T09:31:20.119+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,119 | INFO | order_items.csv loaded successfully!
[2026-07-30T09:31:20.120+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,119 | INFO | ============================================================
[2026-07-30T09:31:20.126+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,126 | INFO | ============================================================
[2026-07-30T09:31:20.127+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,126 | INFO | Starting ETL Pipeline for payments.csv
[2026-07-30T09:31:20.127+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,127 | INFO | ============================================================
[2026-07-30T09:31:20.130+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,130 | INFO | Validating dataset
[2026-07-30T09:31:20.132+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,132 | INFO | Removing duplicates
[2026-07-30T09:31:20.133+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,133 | INFO | Replacing null values
[2026-07-30T09:31:20.133+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,133 | INFO | Processing 5000 records
[2026-07-30T09:31:20.354+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,354 | INFO | payments.csv loaded successfully!
[2026-07-30T09:31:20.354+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,354 | INFO | ============================================================
[2026-07-30T09:31:20.356+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,356 | INFO | ============================================================
[2026-07-30T09:31:20.356+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,356 | INFO | Starting ETL Pipeline for shipping.csv
[2026-07-30T09:31:20.357+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,356 | INFO | ============================================================
[2026-07-30T09:31:20.362+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,362 | INFO | Validating dataset
[2026-07-30T09:31:20.364+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,364 | INFO | Removing duplicates
[2026-07-30T09:31:20.366+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,366 | INFO | Replacing null values
[2026-07-30T09:31:20.367+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,367 | INFO | Processing 5000 records
[2026-07-30T09:31:20.736+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,736 | INFO | shipping.csv loaded successfully!
[2026-07-30T09:31:20.737+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:20,736 | INFO | ============================================================
[2026-07-30T09:31:20.811+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2026-07-30T09:31:20.852+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2026-07-30T09:31:20.852+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=retail_etl, task_id=load_data, run_id=manual__2026-07-30T09:31:11.182824+00:00, execution_date=20260730T093111, start_date=20260730T093118, end_date=20260730T093120
[2026-07-30T09:31:20.891+0000] {local_task_job_runner.py:261} INFO - Task exited with return code 0
[2026-07-30T09:31:20.912+0000] {taskinstance.py:3891} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2026-07-30T09:31:20.913+0000] {local_task_job_runner.py:240} INFO - ::endgroup::
